Date,Date1,Close Price,Average Price
30-Apr-19,1,168,173.06
02-May-19,2,173.75,172.73
03-May-19,3,175.9,175.25
06-May-19,4,166.25,168.49
07-May-19,5,164.75,166.27
08-May-19,6,160.75,162.27
09-May-19,7,170.3,166.41
10-May-19,8,163.85,168.46
13-May-19,9,154.7,158.14
14-May-19,10,155.85,155.02
15-May-19,11,142.95,147.81
16-May-19,12,137.75,139.43
17-May-19,13,134.15,139.28
20-May-19,14,143.55,141.44
21-May-19,15,141,140.82
22-May-19,16,137.55,137.79
23-May-19,17,139.75,144.47
24-May-19,18,141.2,141.06
27-May-19,19,146.8,145.98
28-May-19,20,152.8,152.4
29-May-19,21,151.7,153.22
30-May-19,22,155,154.16
31-May-19,23,147.8,151.35
03-Jun-19,24,149.45,147.92
04-Jun-19,25,152.8,152.13
06-Jun-19,26,143.4,146.84
07-Jun-19,27,139.9,140.82
10-Jun-19,28,135.9,137.32
11-Jun-19,29,139.55,139.37
12-Jun-19,30,134.75,135.29
13-Jun-19,31,117.1,121.38
14-Jun-19,32,115.05,116.42
17-Jun-19,33,116.15,116.03
18-Jun-19,34,109.3,112.35
19-Jun-19,35,103.2,105.39
20-Jun-19,36,114.55,108.11
21-Jun-19,37,109.6,110.79
24-Jun-19,38,111.95,111.57
25-Jun-19,39,110.05,110.29
26-Jun-19,40,113.05,112.1
27-Jun-19,41,112.4,112.9
28-Jun-19,42,108.75,109.58
01-Jul-19,43,109.15,109.28
02-Jul-19,44,100.8,102.62
03-Jul-19,45,99.75,101.21
04-Jul-19,46,96.25,98.59
05-Jul-19,47,88.15,91.41
08-Jul-19,48,93.15,92.11
09-Jul-19,49,91.35,93.9
10-Jul-19,50,93,92.92
11-Jul-19,51,92.45,92.33
12-Jul-19,52,94.2,93.42
15-Jul-19,53,93.2,95.92
16-Jul-19,54,103.85,99.89
17-Jul-19,55,98.4,102.28
18-Jul-19,56,85.8,87.16
19-Jul-19,57,83.25,84.73
22-Jul-19,58,91.15,88.45
23-Jul-19,59,90.65,91
24-Jul-19,60,89.15,90.71
25-Jul-19,61,87.65,88.18
26-Jul-19,62,96.05,93.51
29-Jul-19,63,94.75,94.95
30-Jul-19,64,86.05,91.07
31-Jul-19,65,91.2,89.36
01-Aug-19,66,88.4,88.81
02-Aug-19,67,88.3,88.83
05-Aug-19,68,81.1,82.5
06-Aug-19,69,85.35,83.58
07-Aug-19,70,86.85,89.64
08-Aug-19,71,89.2,88.06
09-Aug-19,72,82.15,85.45
13-Aug-19,73,73.6,77.48
14-Aug-19,74,76.55,75.51
16-Aug-19,75,79.45,79.28
19-Aug-19,76,76.65,77.98
20-Aug-19,77,71.2,72.28
21-Aug-19,78,65.4,67.7
22-Aug-19,79,56.3,59.83
23-Aug-19,80,59.25,58.89
26-Aug-19,81,62.9,61.12
27-Aug-19,82,64.5,64.02
28-Aug-19,83,59.5,61.07
29-Aug-19,84,57.4,56.71
30-Aug-19,85,59.95,57.86
03-Sep-19,86,58.75,59.62
04-Sep-19,87,59.45,58.69
05-Sep-19,88,61.95,60.72
06-Sep-19,89,60.4,60.89
09-Sep-19,90,63.1,62.04
11-Sep-19,91,71.6,69.9
12-Sep-19,92,67.95,69.07
13-Sep-19,93,68.55,66.6
16-Sep-19,94,67.05,67.25
17-Sep-19,95,65.1,67.07
18-Sep-19,96,64.1,64.49
19-Sep-19,97,54.1,57.87
20-Sep-19,98,55.5,56.66
23-Sep-19,99,55.45,55.16
24-Sep-19,100,56.05,55.65
25-Sep-19,101,53.7,55.08
26-Sep-19,102,51.05,52
27-Sep-19,103,48.75,50.22
30-Sep-19,104,41.4,43.37
01-Oct-19,105,32,36.1
03-Oct-19,106,42.5,39.86
04-Oct-19,107,42.15,43.07
07-Oct-19,108,45.65,45
09-Oct-19,109,43.25,42.95
10-Oct-19,110,40.95,41.31
11-Oct-19,111,39.6,39.24
14-Oct-19,112,40.1,40.18
15-Oct-19,113,40.6,40.34
16-Oct-19,114,41.05,40.69
17-Oct-19,115,47.4,44.95
18-Oct-19,116,51.4,50.47
22-Oct-19,117,51.8,54.03
23-Oct-19,118,51.2,51.48
24-Oct-19,119,48.3,50.33
25-Oct-19,120,52.15,48.96
27-Oct-19,121,54.75,55.08
29-Oct-19,122,58.15,57.57
30-Oct-19,123,56.8,57.74
31-Oct-19,124,70.4,67.82
01-Nov-19,125,66.6,68.25
04-Nov-19,126,66.15,65.8
05-Nov-19,127,68.3,68.95
06-Nov-19,128,68.7,69.24
07-Nov-19,129,66.45,67.52
08-Nov-19,130,68.95,69.45
11-Nov-19,131,73,71.79
13-Nov-19,132,68.2,71.72
14-Nov-19,133,68.75,69.11
15-Nov-19,134,68.7,69.04
18-Nov-19,135,65.85,66.92
19-Nov-19,136,64.15,65.07
20-Nov-19,137,65.85,64.65
21-Nov-19,138,64.25,65
22-Nov-19,139,64.8,65.26
25-Nov-19,140,63.75,63.75
26-Nov-19,141,63.15,64.55
27-Nov-19,142,68.25,67.31
28-Nov-19,143,70.05,69.51
29-Nov-19,144,68.3,70.78
02-Dec-19,145,64.05,66.32
03-Dec-19,146,59.5,61.43
04-Dec-19,147,63,60.75
05-Dec-19,148,62.1,62.42
06-Dec-19,149,56,57.74
09-Dec-19,150,56.25,56.57
10-Dec-19,151,50.55,52.86
11-Dec-19,152,42.8,44.32
12-Dec-19,153,45.35,45.49
13-Dec-19,154,46.65,46.7
16-Dec-19,155,46.8,46.69
17-Dec-19,156,47.6,47.58
18-Dec-19,157,46.75,46.99
19-Dec-19,158,49.9,48.32
20-Dec-19,159,51.4,51.86
23-Dec-19,160,49.65,50.66
24-Dec-19,161,51.2,51.13
26-Dec-19,162,48.65,49.84
27-Dec-19,163,48,48.54
30-Dec-19,164,47.35,47.63
31-Dec-19,165,46.95,47.2
01-Jan-20,166,46.65,46.88
02-Jan-20,167,47.35,47.33
03-Jan-20,168,47.1,47.44
06-Jan-20,169,45.15,45.67
07-Jan-20,170,45.05,45.22
08-Jan-20,171,46.05,45.99
09-Jan-20,172,47.3,47.36
10-Jan-20,173,44.75,45.69
13-Jan-20,174,42.1,42.2
14-Jan-20,175,38.55,39.03
15-Jan-20,176,39.75,39.24
16-Jan-20,177,39.95,40.19
17-Jan-20,178,39.25,38.72
20-Jan-20,179,38.65,39.11
21-Jan-20,180,38.35,38.56
22-Jan-20,181,38.45,38.46
23-Jan-20,182,40.95,40.32
24-Jan-20,183,42.8,43.37
27-Jan-20,184,42.4,42.71
28-Jan-20,185,41.65,42.28
29-Jan-20,186,41.2,41.57
30-Jan-20,187,39.05,39.19
31-Jan-20,188,39.25,39.42
01-Feb-20,189,37.9,38.93
03-Feb-20,190,36,36.58
04-Feb-20,191,34.95,35.14
05-Feb-20,192,37.6,37.2
06-Feb-20,193,38.55,38.72
07-Feb-20,194,38.7,38.97
10-Feb-20,195,37.55,38.64
11-Feb-20,196,36.85,37.32
12-Feb-20,197,35.2,35.48
13-Feb-20,198,37.2,37.16
14-Feb-20,199,38.9,39.22
17-Feb-20,200,37.15,37.67
18-Feb-20,201,35.05,34.75
19-Feb-20,202,35.3,34.96
20-Feb-20,203,35.45,35.82
24-Feb-20,204,34.95,35.12
25-Feb-20,205,35.15,35.23
26-Feb-20,206,36.55,35.99
27-Feb-20,207,36.8,37.25
28-Feb-20,208,34.6,34.93
02-Mar-20,209,31.55,33.65
03-Mar-20,210,31.2,31.78
04-Mar-20,211,29.3,29.77
05-Mar-20,212,36.8,34.82
06-Mar-20,213,16.15,14.75
09-Mar-20,214,21.25,20.24
11-Mar-20,215,28.8,27.31
12-Mar-20,216,25.05,25.18
13-Mar-20,217,25.55,25.42
16-Mar-20,218,37.1,35.96
17-Mar-20,219,58.65,55.38
18-Mar-20,220,60.45,68.52
19-Mar-20,221,53.85,52.35
20-Mar-20,222,45.85,50.37
23-Mar-20,223,39.75,43.95
24-Mar-20,224,35,36.72
25-Mar-20,225,29.6,30.54
26-Mar-20,226,26.6,28.56
27-Mar-20,227,26.35,28.29
30-Mar-20,228,24.9,25.09
31-Mar-20,229,22.45,22.99
01-Apr-20,230,23.95,23.28
03-Apr-20,231,24.1,24.03
07-Apr-20,232,24.55,24.41
08-Apr-20,233,24.75,24.76
09-Apr-20,234,24.9,24.94
13-Apr-20,235,24.1,24.08
15-Apr-20,236,24.5,24.85
16-Apr-20,237,24.6,24.56
17-Apr-20,238,25.1,25.03
20-Apr-20,239,29.45,28.7
21-Apr-20,240,29.65,29.48
22-Apr-20,241,29.6,29.48
23-Apr-20,242,28.3,28.92
24-Apr-20,243,26.6,26.95
27-Apr-20,244,27.05,26.84
28-Apr-20,245,27.25,27.26
29-Apr-20,246,28.05,28.23
30-Apr-20,247,27.9,28.37
04-May-20,248,27.05,27.06
05-May-20,249,26.6,26.86
06-May-20,250,26.3,26.13
07-May-20,251,28.1,28.98
08-May-20,252,27.05,27.45
11-May-20,253,27.8,27.59
12-May-20,254,27.95,27.76
13-May-20,255,28.65,28.61
14-May-20,256,28.2,28.32
15-May-20,257,28.7,28.5
18-May-20,258,27.55,27.67
19-May-20,259,27.4,27.62
20-May-20,260,27.15,27.24
21-May-20,261,26.9,27.08
22-May-20,262,26.55,26.5
26-May-20,263,27.4,27.28
27-May-20,264,27.6,27.62
28-May-20,265,27,27.63
29-May-20,266,26.85,27
01-Jun-20,267,27.15,27.24
02-Jun-20,268,27.15,27.19
03-Jun-20,269,27.95,28.2
04-Jun-20,270,27.95,28.16
05-Jun-20,271,28.85,28.53
08-Jun-20,272,30.6,30.73
09-Jun-20,273,29.85,30.69
10-Jun-20,274,30.4,30.42
11-Jun-20,275,29.8,30.62
12-Jun-20,276,29.5,28.97
15-Jun-20,277,29,29.54
16-Jun-20,278,28.4,28.49
17-Jun-20,279,27.65,27.85
18-Jun-20,280,28,27.91
19-Jun-20,281,28,28.07
22-Jun-20,282,27.75,27.85
23-Jun-20,283,27.55,27.55
24-Jun-20,284,27.05,27.43
25-Jun-20,285,27,27.01
26-Jun-20,286,26.75,26.82
29-Jun-20,287,26.1,26.23
30-Jun-20,288,25.6,25.76
01-Jul-20,289,26.9,26.44
02-Jul-20,290,26.25,26.55
03-Jul-20,291,26.15,26.09
06-Jul-20,292,26.05,26.06
07-Jul-20,293,25.75,25.73
08-Jul-20,294,26.05,26.08
09-Jul-20,295,26.65,26.71
10-Jul-20,296,25.55,25.52
13-Jul-20,297,22.05,22.47
14-Jul-20,298,20.95,20.89
15-Jul-20,299,20.45,20.96
16-Jul-20,300,19.2,19.06
17-Jul-20,301,19.8,19.31
20-Jul-20,302,19.45,19.42
21-Jul-20,303,19.3,19.16
22-Jul-20,304,18.25,18.49
23-Jul-20,305,14.75,15.19
24-Jul-20,306,13.65,13.85
27-Jul-20,307,12.3,12.3
28-Jul-20,308,11.9,11.55
29-Jul-20,309,11.7,12.01
30-Jul-20,310,11.95,11.97
31-Jul-20,311,11.95,11.98
03-Aug-20,312,12,11.97
04-Aug-20,313,12.25,12.24
05-Aug-20,314,12.85,12.75
06-Aug-20,315,13.45,13.43
07-Aug-20,316,14.1,13.98
10-Aug-20,317,14.8,14.73
11-Aug-20,318,15.5,15.5
12-Aug-20,319,16.25,16.25
13-Aug-20,320,15.85,16.31
14-Aug-20,321,15.1,15.2
17-Aug-20,322,14.35,14.51
18-Aug-20,323,15.05,14.77
19-Aug-20,324,15.8,15.69
20-Aug-20,325,15.75,16.01
21-Aug-20,326,15.55,15.63
24-Aug-20,327,14.8,14.93
25-Aug-20,328,14.75,14.72
26-Aug-20,329,14.65,14.67
27-Aug-20,330,14.7,14.72
28-Aug-20,331,15,15.1
31-Aug-20,332,14.35,14.65
01-Sep-20,333,14.65,14.35
02-Sep-20,334,14.4,14.37
03-Sep-20,335,14.6,14.4
04-Sep-20,336,14.25,14.29
07-Sep-20,337,14.1,14.12
08-Sep-20,338,13.95,14.02
09-Sep-20,339,13.65,13.5
10-Sep-20,340,13.9,13.87
11-Sep-20,341,14.55,14.45
14-Sep-20,342,14.75,14.96
15-Sep-20,343,14.55,14.61
16-Sep-20,344,14.25,14.32
17-Sep-20,345,14.1,13.98
18-Sep-20,346,14,14.11
21-Sep-20,347,13.55,13.72
22-Sep-20,348,13.2,13.19
23-Sep-20,349,13.15,13.13
24-Sep-20,350,12.95,12.88
25-Sep-20,351,13.35,13.3
28-Sep-20,352,13.55,13.56
29-Sep-20,353,13.35,13.42
30-Sep-20,354,13.15,13.19
01-Oct-20,355,13.3,13.29
05-Oct-20,356,13.35,13.44
06-Oct-20,357,13.3,13.28
07-Oct-20,358,13.15,13.18
08-Oct-20,359,13.1,13.16
09-Oct-20,360,13.15,13.12
12-Oct-20,361,13,13.11
13-Oct-20,362,12.95,12.99
14-Oct-20,363,12.9,12.87
15-Oct-20,364,12.65,12.72
16-Oct-20,365,12.65,12.58
19-Oct-20,366,12.9,12.93
20-Oct-20,367,12.9,12.88
21-Oct-20,368,12.95,12.94
22-Oct-20,369,12.7,12.78
23-Oct-20,370,13.3,13.05
26-Oct-20,371,13.15,13.43
27-Oct-20,372,12.85,12.82
28-Oct-20,373,12.5,12.55
29-Oct-20,374,12.4,12.33
30-Oct-20,375,12.4,12.44
02-Nov-20,376,12.25,12.25
03-Nov-20,377,12.25,12.3
04-Nov-20,378,12.25,12.27
05-Nov-20,379,12.3,12.29
06-Nov-20,380,12.3,12.28
09-Nov-20,381,12.9,12.49
10-Nov-20,382,13.5,13.5
11-Nov-20,383,14.15,14.15
12-Nov-20,384,14.35,14.08
13-Nov-20,385,14.55,14.33
14-Nov-20,386,14.55,14.66
17-Nov-20,387,14.65,14.62
18-Nov-20,388,14.7,14.64
19-Nov-20,389,14.25,14.43
20-Nov-20,390,14.55,14.42
23-Nov-20,391,14.55,14.64
24-Nov-20,392,14.7,14.64
25-Nov-20,393,14.15,14.28
26-Nov-20,394,14.1,14.04
27-Nov-20,395,14.7,14.6
01-Dec-20,396,15.4,15.38
02-Dec-20,397,15.45,15.35
03-Dec-20,398,15.45,15.5
04-Dec-20,399,15.35,15.31
07-Dec-20,400,15.75,15.66
08-Dec-20,401,17.3,17.01
09-Dec-20,402,19,18.85
10-Dec-20,403,20.45,20.03
11-Dec-20,404,19.45,19.85
14-Dec-20,405,18.5,18.64
15-Dec-20,406,18.3,17.91
16-Dec-20,407,18.85,18.86
17-Dec-20,408,18.25,18.43
18-Dec-20,409,18.9,18.29
21-Dec-20,410,18,18.38
22-Dec-20,411,17.3,17.21
23-Dec-20,412,17.6,17.45
24-Dec-20,413,17.55,17.59
28-Dec-20,414,17.8,17.83
29-Dec-20,415,17.75,17.75
30-Dec-20,416,17.75,17.65
31-Dec-20,417,17.85,17.87
01-Jan-21,418,18,18.13
04-Jan-21,419,18,18.14
05-Jan-21,420,18,17.99
06-Jan-21,421,18,18.12
07-Jan-21,422,18,18.05
08-Jan-21,423,18.05,18.02
11-Jan-21,424,17.95,18.04
12-Jan-21,425,18.05,18.11
13-Jan-21,426,17.8,17.85
14-Jan-21,427,17.85,17.85
15-Jan-21,428,17.6,17.61
18-Jan-21,429,17.7,17.76
19-Jan-21,430,17.9,17.83
20-Jan-21,431,17.65,17.66
21-Jan-21,432,17.25,17.51
22-Jan-21,433,17,17.07
25-Jan-21,434,16.35,16.62
27-Jan-21,435,15.75,15.85
28-Jan-21,436,15.05,15.16
29-Jan-21,437,15.75,15.52
01-Feb-21,438,16.4,16.02
02-Feb-21,439,16.55,16.48
03-Feb-21,440,16.25,16.42
04-Feb-21,441,16.2,16.29
05-Feb-21,442,16.9,17
08-Feb-21,443,17.05,17.1
09-Feb-21,444,16.65,16.82
10-Feb-21,445,16.4,16.43
11-Feb-21,446,16.5,16.52
12-Feb-21,447,16.4,16.44
15-Feb-21,448,16.25,16.32
16-Feb-21,449,16.05,16.06
17-Feb-21,450,15.9,15.9
18-Feb-21,451,16.15,16.13
19-Feb-21,452,15.95,16.08
22-Feb-21,453,15.6,15.7
23-Feb-21,454,15.6,15.63
24-Feb-21,455,16.1,16.09
25-Feb-21,456,16.1,16.17
26-Feb-21,457,15.75,15.78
01-Mar-21,458,16.3,16.35
02-Mar-21,459,16.3,16.39
03-Mar-21,460,16.35,16.41
04-Mar-21,461,16.6,16.49
05-Mar-21,462,16.35,16.59
08-Mar-21,463,16.25,16.45
09-Mar-21,464,16.05,16.12
10-Mar-21,465,16.05,16.07
12-Mar-21,466,15.9,16.02
15-Mar-21,467,15.65,15.59
16-Mar-21,468,15.45,15.51
17-Mar-21,469,15.1,15.18
18-Mar-21,470,14.9,15
19-Mar-21,471,14.95,14.65
22-Mar-21,472,14.85,14.91
23-Mar-21,473,14.9,14.9
24-Mar-21,474,14.65,14.77
25-Mar-21,475,14.2,14.26
26-Mar-21,476,14.05,14.25
30-Mar-21,477,16.3,15.87
31-Mar-21,478,15.6,15.82
01-Apr-21,479,15.7,15.64
05-Apr-21,480,15.5,15.54
06-Apr-21,481,15.6,15.65
07-Apr-21,482,15.6,15.59
08-Apr-21,483,15.55,15.6
09-Apr-21,484,15.45,15.52
12-Apr-21,485,14.45,14.67
13-Apr-21,486,14.7,14.59
15-Apr-21,487,14.55,14.5
16-Apr-21,488,14.6,14.63
19-Apr-21,489,14.2,14.17
20-Apr-21,490,14.05,14.15
22-Apr-21,491,14.05,14.07
23-Apr-21,492,14,14.04
26-Apr-21,493,14.05,14.1
